"CALLERTYPE","CITY","DATECANCELLED","DATEINVTDONE","DATETIMECLOSED","DATETIMEINIT","DESCRIPTION","EXPLANATION","GROUP","NEIGHBORHOOD","PLAIN_ENGLISH_NAME_FOR_PROBLEMCODE","PRJCOMPLETEDATE","PROBADDRESS","PROBADDTYPE","PROBLEMCODE","PROBZIP","REQUESTID","SRX","SRY","STATUS","SUBMITTO","WARD"
"","","","2009-01-05 00:00:00.0","2014-12-03 11:16:34.96","2009-01-02 08:26:34.0","Requires caller name and number","","Prpty Insp Interior","59","No heat in building","2009-01-06 00:00:00.0","3802 GREER AV","B","No Heat, Int","","9155","899199.00000000","1028841.00000000","CLOSED","COMM SANITATION,","03"
"","","","2022-02-24 15:08:31.203","2022-02-24 15:08:31.203","2009-01-02 12:36:58.0","Enforce Ordinace","","Animals","06","Pet owner is not complying with animal laws","2009-01-13 00:00:00.0","5219 ROBERT","B","Enforce Ordinace","","9289","880028.00000000","996430.00000000","CLOSED","ANIMAL CARE,","12"
"","","","2022-02-24 15:11:00.977","2022-02-24 15:11:00.977","2009-01-02 12:40:31.0","Dangerous Animal","","Animals","06","Report a dangerous animal","2009-01-09 00:00:00.0","5219 ROBERT","B","Dangerous Animal","","9291","879935.00000000","996309.00000000","CLOSED","ANIMAL CARE,","12"
"","St. Louis","","2009-01-12 00:00:00.0","2014-12-03 11:20:57.813","2009-01-02 16:50:13.0","Unsanitary Pets, Ext","","Prpty Insp Exterior","04","Unsanitary keeping of pets/feces in yard not picked up","2009-01-23 00:00:00.0","3757 BLOW ST","B","Unsanitary Pets, Ext","","9362","886574.00000000","992645.00000000","CLOSED","COMM SANITATION,","12"
"","St. Louis","","2009-01-07 00:00:00.0","2009-01-12 10:20:07.0","2009-01-05 11:04:04.0","Illegal Use, Open Storage","Any zoning code violations, including derelict vehicles, appliances, etc. on private property","Prpty Insp Exterior","25","Inspect for violation of zoning code (including open storage)","2009-01-26 00:00:00.0","2701 TENNESSEE AV","B","Illegl Use-Opn Storg","","9533","895003.00000000","1009832.00000000","CLOSED","BUILDING DIV,","06"
"","St. Louis","","2009-01-06 00:00:00.0","2019-05-02 07:58:26.083","2009-01-05 11:07:07.0","Bats","","Animals","17","Bats reported in living area","2009-01-12 00:00:00.0","3124 MOUNT PLEASANT ST","B","Bats","63111","9539","894547.00000000","997516.00000000","CLOSED","ANIMAL CARE,","09"
"","","","2009-01-07 00:00:00.0","2009-01-09 15:09:25.0","2009-01-06 09:35:25.0","Cntnr overflow/bulky","Trash, yard waster, or recycling container is overflowing and needs to be emptied.","Trash/Debris","68","Container is overflowing","2009-01-22 00:00:00.0","4209 W CARTER AVE","B","Cntnr overflow/bulky","63115","9874","897921.06100000","1035157.77500000","CLOSED","REFUSE,","21"
"","St. Louis","","2009-02-18 00:00:00.0","2009-04-09 10:53:29.0","2009-01-06 15:15:41.0","Lead Inspection","","Prpty Insp Interior","05","Inspect for lead paint","2009-02-19 00:00:00.0","4207 WALSH ST","B","Lead Insp","","10085","887132.00000000","999811.00000000","CLOSED","BLDG LEAD INSP,","14"
"","","","2009-01-07 00:00:00.0","2009-01-08 15:53:44.0","2009-01-07 10:43:30.0","Cntnr overflow/bulky","Trash, yard waster, or recycling container is overflowing and needs to be emptied.","Trash/Debris","09","Container is overflowing","2009-01-12 00:00:00.0","4404 JAMIESON","B","Cntnr overflow/bulky","","10208","874725.00000000","1004446.00000000","CLOSED","REFUSE,","23"
"","","","2009-01-09 00:00:00.0","2009-01-13 11:02:00.0","2009-01-07 13:08:34.0","Debris-Vacant Bldg","","Trash/Debris","51","Debris around a vacant building","2009-01-16 00:00:00.0","5126 WELLS","B","Debris-Vacant Bldg","","10266","886906.00000000","1030498.00000000","CLOSED","FORESTRY,","26"
"","","","2009-01-12 00:00:00.0","2009-01-20 11:39:08.0","2009-01-08 08:10:12.0","Property Maintenance Code - Exterior","","Prpty Insp Comml","30","Inspect for exterior building code violations","2009-01-29 00:00:00.0","3324 IOWA AVE","B","Ppty Maint Code-Ext","63118","10363","897847.48200000","1005483.64500000","CLOSED","BUILDING DIV,","09"
"WEB","","","2009-06-11 00:00:00.0","2009-09-01 15:15:16.0","2009-01-08 10:09:32.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","09","Inspect city tree","2009-01-29 00:00:00.0","7052 MARDEL","B","Inspect City Tree","","10476","873394.00000000","1006107.00000000","CLOSED","FORESTRY,","23"
"","","","2009-01-20 00:00:00.0","2009-01-23 08:53:33.0","2009-01-08 10:58:32.0","Illegal Use, Open Storage","Any zoning code violations, including derelict vehicles, appliances, etc. on private property","Prpty Insp Exterior","09","Inspect for violation of zoning code (including open storage)","2009-01-29 00:00:00.0","4208 WATSON","B","Illegl Use-Opn Storg","","10515","877015.00000000","1004987.00000000","CLOSED","BUILDING DIV,","23"
"","St. Louis","","2009-01-08 00:00:00.0","2009-01-09 12:08:05.0","2009-01-08 15:53:21.0","No Water - Food Ctrl","","Food Control","15","Report of no water at a food establishment","2009-01-12 00:00:00.0","3440 S KINGSHIGHWAY BLVD","B","No Water - Food Ctrl","","10694","885783.00000000","1006041.00000000","CLOSED","FOOD CNTRL,","10"
"PHONE","St. Louis","","2009-09-01 00:00:00.0","2009-09-01 15:15:34.0","2009-01-09 08:48:20.0","Inspect City Tree","The city maintains trees located in parks, medians, and in the ""tree lawn"" area located between the sidewalk and curb in front of properties. Request that a tree be inspected for health, trimming, or removal, as necessary, by a certified arborist.","Trees","52","Inspect city tree","2013-05-28 00:00:00.0","5236 LEXINGTON AV","B","Inspect City Tree","","10777","889121.00000000","1035435.00000000","CLOSED","FORESTRY,","01"
"","","","2009-01-27 00:00:00.0","2009-02-19 13:01:10.0","2009-01-12 10:04:06.0","Caller will be witness/has evidence","","Trash/Debris","27","I witnessed someone illegally dumping","2009-01-27 00:00:00.0","4158 DETONTY","B","Illegal dumpg report","","11111","890880.00000000","1013652.00000000","CLOSED","ENVIRONMENTAL INVESTIGATIONS,","17"
"","","","2009-02-05 00:00:00.0","2009-02-05 14:15:57.0","2009-01-13 11:23:10.0","Debris-Vacant Lot","","Trash/Debris","78","Debris on a vacant lot","2009-01-23 00:00:00.0","1421 GOODFELLOW","B","Debris-Vacant Lot","","11465","882687.00000000","1032946.00000000","CLOSED","FORESTRY,","22"
